dept,dept_group,title,published_date,year,month,month_name,quarter,quarter_label,year_month,relevance_score,priority_category,requires_action,policy_type,business_impact,sector_focus,ai_application,stage,audience,ai_summary,primary_topic,key_topics,recency,days_since_published,summary_word_count,topics_count,description,url,format,display_type,collection_date
Home_Office,Security & Justice,Inspection of police forces’ contributions to safety advisory groups: West Midlands Police,2026-01-14T00:00:00.000Z,2026,1,January,1,Q1 2026,2026-01,0.8,3-Medium,No,Regulation & Compliance,Background,Public Safety,Safety & Security,Active,Government/Public Sector,AI-related correspondence: Inspection of police forces’ contributions to safety advisory groups: West Midlands Police,AI Safety,Safety,Last month,16,28,1,"Letter from HM Chief Inspector of Constabulary and HM Chief Inspector of Fire & Rescue Services to the Home Secretary on the inspection progress so far.  ",https://www.gov.uk/government/publications/inspection-of-police-forces-contributions-to-safety-advisory-groups-west-midlands-police,correspondence,Correspondence,2026-01-30T00:00:00.000Z
DBT,Business & Trade,Backing your business: our plan for small and medium-sized businesses,2026-01-09T11:08:06.000Z,2026,1,January,1,Q1 2026,2026-01,0.8,3-Medium,No,Strategy & Frameworks,High Impact,Business & Trade,Innovation & R&D,Active,Government/Public Sector,AI-related policy_paper: Backing your business: our plan for small and medium-sized businesses,AI Policy,AI policy,Last month,20,14,1,Strategy setting out a long-term plan for government support for small and medium-sized businesses.,https://www.gov.uk/government/publications/backing-your-business-our-plan-for-small-and-medium-sized-businesses,policy_paper,Policy paper,2026-01-30T00:00:00.000Z
DBT,Business & Trade,Corporate Power Purchase Agreements,2026-01-09T09:30:04.000Z,2026,1,January,1,Q1 2026,2026-01,0.8,3-Medium,No,Research & Analysis,Background,Business & Trade,Innovation & R&D,Active,Government/Public Sector,AI-related open_call_for_evidence: Corporate Power Purchase Agreements,AI Policy,AI policy,Last month,20,17,1,This call for evidence seeks views on how to improve the GB Corporate Power Purchase Agreement market.,https://www.gov.uk/government/calls-for-evidence/corporate-power-purchase-agreements,open_call_for_evidence,open_call_for_evidence,2026-01-30T00:00:00.000Z
ICO,Regulation & Compliance,Memorandum of Understanding (MOU) between the Information Commissioner’s Office and HM Government,2026-01-08T10:25:44.000Z,2026,1,January,1,Q1 2026,2026-01,0.8,3-Medium,No,Implementation Guidance,Background,Cross-Sector,Innovation & R&D,Active,Business/Private Sector,AI-related guidance: Memorandum of Understanding (MOU) between the Information Commissioner’s Office and HM Government,AI Policy,AI policy,Last month,21,46,1,This MOU builds on and formalises the Information Commissioner's Office and HM Government's approach to working effectively in line with our respective roles to protect people’s information. It sets out an enduring framework and approach to co-operation and collaboration and is not intended to be exhaustive.,https://www.gov.uk/government/publications/memorandum-of-understanding-mou-between-the-information-commissioners-office-and-hm-government,guidance,Guidance,2026-01-30T00:00:00.000Z
Treasury,Finance & Economy,Remit and recommendations for the Financial Policy Committee: Budget 2025,2026-01-06T17:24:41.000Z,2026,1,January,1,Q1 2026,2026-01,0.8,3-Medium,No,Regulation & Compliance,Background,Financial Services,Innovation & R&D,Active,Financial Services,AI-related correspondence: Remit and recommendations for the Financial Policy Committee: Budget 2025,AI in Finance,AI policy,Last month,23,23,1,Letter from the Chancellor of the Exchequer to the Governor of the Bank of England providing recommendations for the Financial Policy Committee (FPC).,https://www.gov.uk/government/publications/remit-and-recommendations-for-the-financial-policy-committee-budget-2025,correspondence,Correspondence,2026-01-30T00:00:00.000Z
Home_Office,Security & Justice,UK anti-corruption strategy 2025,2026-01-05T11:43:55.000Z,2026,1,January,1,Q1 2026,2026-01,0.8,2-High,No,Strategy & Frameworks,High Impact,Cross-Sector,Innovation & R&D,Active,Government/Public Sector,AI-related policy_paper: UK anti-corruption strategy 2025,Anti-Corruption,AI policy,Last month,24,21,1,"Strategy to reduce the harm caused by corruption to growth, security and democracy in the UK, and to UK interests overseas.",https://www.gov.uk/government/publications/uk-anti-corruption-strategy-2025,policy_paper,Policy paper,2026-01-30T00:00:00.000Z
DBT,Business & Trade,New Year Honours 2026: Department for Business and Trade,2025-12-29T22:30:00.000Z,2025,12,December,4,Q4 2025,2025-12,0.8,3-Medium,No,Funding & Investment,Background,Business & Trade,Innovation & R&D,Active,Government/Public Sector,AI-related transparency: New Year Honours 2026: Department for Business and Trade,AI Policy,AI policy,Last 3 months,31,17,1,Recipients on the New Year 2026 Honours List sponsored by the Department for Business and Trade (DBT).,https://www.gov.uk/government/publications/new-year-honours-2026-department-for-business-and-trade,transparency,Transparency data,2026-01-30T00:00:00.000Z
DBT,Business & Trade,Enforcement Policy Statement – Employment Agency Standards (EAS) Inspectorate,2025-12-29T10:38:43.000Z,2025,12,December,4,Q4 2025,2025-12,0.8,3-Medium,No,Implementation Guidance,Strategic,Cross-Sector,Innovation & R&D,Active,Government/Public Sector,AI-related corporate_report: Enforcement Policy Statement – Employment Agency Standards (EAS) Inspectorate,AI Safety,AI policy,Last 3 months,31,8,1,The general regulatory principles of the EAS Inspectorate.,https://www.gov.uk/government/publications/enforcement-policy-statement-employment-agency-standards-eas-inspectorate,corporate_report,Corporate report,2026-01-30T00:00:00.000Z
DSIT,Innovation & Business,Faster treatments and support for health workers as AI tackles A&E bottlenecks,2025-12-28T22:30:00.000Z,2025,12,December,4,Q4 2025,2025-12,0.8,2-High,No,Research & Analysis,Background,Cross-Sector,Workforce & Skills,Active,Government/Public Sector,"ai tool helping 50 nhs organisations predict a&e demand this winter, speeding up patient care as ...",AI Skills,AI,Last 3 months,32,26,1,"AI tool helping 50 NHS organisations predict A&E demand this winter, speeding up patient care as government delivers on building an NHS fit for the future.",https://www.gov.uk/government/news/faster-treatments-and-support-for-health-workers-as-ai-tackles-ae-bottlenecks,press_release,press_release,2026-01-30T00:00:00.000Z
DSIT,Innovation & Business,DWP: CMG Return Letters processing,2025-12-22T14:05:09.000Z,2025,12,December,4,Q4 2025,2025-12,0.8,2-High,No,Research & Analysis,Background,Cross-Sector,Innovation & R&D,Active,Government/Public Sector,AI-related algorithmic_transparency_record: DWP: CMG Return Letters processing,AI Policy,AI policy,Last 3 months,38,15,1,A computer vision tool used to extract the address and reference number from return letters.,https://www.gov.uk/algorithmic-transparency-records/dwp-cmg-return-letters-processing,algorithmic_transparency_record,algorithmic_transparency_record,2026-01-30T00:00:00.000Z
DBT,Business & Trade,Boom lifts and baubles: keeping Britain’s festive spirit aloft,2025-12-22T13:59:02.000Z,2025,12,December,4,Q4 2025,2025-12,0.8,3-Medium,No,Research & Analysis,Background,Cross-Sector,Innovation & R&D,Active,Government/Public Sector,AI-related press_release: Boom lifts and baubles: keeping Britain’s festive spirit aloft,AI Policy,AI,Last 3 months,38,14,1,UK launches anti-dumping and anti-subsidy investigation into imported boom lifts to defend British manufacturers.,https://www.gov.uk/government/news/boom-lifts-and-baubles-keeping-britains-festive-spirit-aloft,press_release,press_release,2026-01-30T00:00:00.000Z
Treasury,Finance & Economy,Personal information charter,2025-12-22T11:31:12.000Z,2025,12,December,4,Q4 2025,2025-12,0.8,3-Medium,No,Implementation Guidance,Background,Financial Services,Innovation & R&D,Active,Financial Services,AI-related personal_information_charter: Personal information charter,AI Policy,AI policy,Last 3 months,38,24,1,"This information charter sets out the standards you can expect from HM Treasury (HMT) when we collect, hold, or use your personal information. ",https://www.gov.uk/government/organisations/hm-treasury/about/personal-information-charter,personal_information_charter,personal_information_charter,2026-01-30T00:00:00.000Z
Treasury,Finance & Economy,Correspondence Privacy Notice,2025-12-22T11:28:38.000Z,2025,12,December,4,Q4 2025,2025-12,0.8,3-Medium,No,Implementation Guidance,Background,Financial Services,Innovation & R&D,Active,Business/Private Sector,AI-related guidance: Correspondence Privacy Notice,AI Policy,AI policy,Last 3 months,38,14,1,"This Privacy Notice should be read alongside HM Treasury’s (HMT’s) Personal Information Charter. ",https://www.gov.uk/government/publications/correspondence-privacy-notice,guidance,Guidance,2026-01-30T00:00:00.000Z
DfE,Education,UK Education Ministers Council communiqué: 13 November 2025,2025-12-18T10:57:07.000Z,2025,12,December,4,Q4 2025,2025-12,0.8,3-Medium,No,Strategy & Frameworks,Background,Education,Innovation & R&D,Active,Education Sector,AI-related policy_paper: UK Education Ministers Council communiqué: 13 November 2025,AI Policy,AI policy,Last 3 months,42,17,1,Attendees and discussion points at the meeting of the Interministerial Group for Education on 13 November 2025.,https://www.gov.uk/government/publications/uk-education-ministers-council-communique-13-november-2025,policy_paper,Policy paper,2026-01-30T00:00:00.000Z
Cabinet_Office,Other,"Cabinet Office annual statement on compliance with the Concordat to Support Research Integrity, 2024-2025",2025-12-16T16:00:04.000Z,2025,12,December,4,Q4 2025,2025-12,0.8,3-Medium,No,Research & Analysis,Background,Cross-Sector,Innovation & R&D,Active,Government/Public Sector,"AI-related transparency: Cabinet Office annual statement on compliance with the Concordat to Support Research Integrity, 2024-2025",AI Policy,Research,Last 3 months,44,17,1,This statement summarises the Cabinet Office’s activities in support of research integrity over the financial year 2024-2025.,https://www.gov.uk/government/publications/cabinet-office-annual-statement-on-compliance-with-the-concordat-to-support-research-integrity-2024-2025,transparency,Transparency data,2026-01-30T00:00:00.000Z
Cabinet_Office,Other,FCDO: Correspondence Triage,2025-12-16T12:09:30.000Z,2025,12,December,4,Q4 2025,2025-12,0.8,3-Medium,No,Research & Analysis,Background,Cross-Sector,Innovation & R&D,Active,Government/Public Sector,AI-related algorithmic_transparency_record: FCDO: Correspondence Triage,AI Policy,AI policy,Last 3 months,44,21,1,A tool to triage incoming correspondence for the correspondence team to ensure teams receive and respond more quickly to incoming communications.,https://www.gov.uk/algorithmic-transparency-records/fcdo-correspondence-triage,algorithmic_transparency_record,algorithmic_transparency_record,2026-01-30T00:00:00.000Z
DSIT,Innovation & Business,DSIT - Parlex,2025-12-16T11:50:49.000Z,2025,12,December,4,Q4 2025,2025-12,0.8,2-High,No,Research & Analysis,Background,Cross-Sector,Innovation & R&D,Active,Government/Public Sector,AI-related algorithmic_transparency_record: DSIT - Parlex,AI Policy,AI policy,Last 3 months,44,17,1,Parlex is parliamentary intelligence tool that enables civil servants to more efficiently search and understand parliamentary activity.,https://www.gov.uk/algorithmic-transparency-records/dsit-parlex,algorithmic_transparency_record,algorithmic_transparency_record,2026-01-30T00:00:00.000Z
DSIT,Innovation & Business,Copyright and AI technical working group: terms of reference,2025-12-15T11:41:23.000Z,2025,12,December,4,Q4 2025,2025-12,0.8,2-High,No,Research & Analysis,Background,Cross-Sector,Workforce & Skills,Active,Government/Public Sector,terms of reference for the technical working group on copyright and artificial intelligence (ai).,AI Skills,AI,Last 3 months,45,14,1,Terms of reference for the technical working group on copyright and artificial intelligence (AI).,https://www.gov.uk/government/publications/copyright-and-ai-technical-working-group-terms-of-reference,transparency,Transparency data,2026-01-30T00:00:00.000Z
DSIT,Innovation & Business,Copyright and artificial intelligence: progress report,2025-12-15T11:38:04.000Z,2025,12,December,4,Q4 2025,2025-12,0.8,2-High,No,Strategy & Frameworks,Background,Cross-Sector,Innovation & R&D,Active,Government/Public Sector,"a progress report on the use of copyright works in the development of ai systems, under section 1...",AI Policy,"AI, Data",Last 3 months,45,26,2,"A progress report on the use of copyright works in the development of AI systems, under Section 137 of the Data (Use and Access) Act. ",https://www.gov.uk/government/publications/copyright-and-artificial-intelligence-progress-report,policy_paper,Policy paper,2026-01-30T00:00:00.000Z
Home_Office,Security & Justice,UK national statement to UNCAC 2025,2025-12-15T10:06:27.000Z,2025,12,December,4,Q4 2025,2025-12,0.8,3-Medium,No,Strategy & Frameworks,Background,Cross-Sector,Innovation & R&D,Active,Government/Public Sector,the uk's national statement to the united nations convention against corruption (uncac) sets out ...,AI Policy,AI,Last 3 months,45,21,1,The UK's national statement to the United Nations Convention Against Corruption (UNCAC) sets out our priorities and achievements in combatting corruption.,https://www.gov.uk/government/publications/uk-national-statement-to-uncac-2025,correspondence,Correspondence,2026-01-30T00:00:00.000Z
DSIT,Innovation & Business,Stronger tech ties and international agreements on AI to modernise public services and reduce costs for Britons as UK Tech Minister wraps Canada visit,2025-12-12T00:01:02.000Z,2025,12,December,4,Q4 2025,2025-12,0.8,2-High,No,Research & Analysis,Background,Cross-Sector,Innovation & R&D,Active,Government/Public Sector,AI-related press_release: Stronger tech ties and international agreements on AI to modernise public services and reduce costs for Britons as UK Tech Minister wraps Canada visit,AI Policy,AI,Last 3 months,49,24,1,"Technology Minister Ian Murray returns from the latest G7 Ministerial gathering in Canada with strengthened tech ties and new agreements in key areas. ",https://www.gov.uk/government/news/stronger-tech-ties-and-international-agreements-on-ai-to-modernise-public-services-and-reduce-costs-for-britons-as-uk-tech-minister-wraps-canada-visit,press_release,press_release,2026-01-30T00:00:00.000Z
Home_Office,Security & Justice,Response to the report on the terrorism acts in 2023,2025-12-11T11:31:19.000Z,2025,12,December,4,Q4 2025,2025-12,0.8,3-Medium,No,Strategy & Frameworks,Background,Cross-Sector,Innovation & R&D,Active,Government/Public Sector,AI-related policy_paper: Response to the report on the terrorism acts in 2023,AI Policy,AI policy,Last 3 months,49,20,1,The government response to the Independent Reviewer of Terrorism Legislation’s report on the operation of the terrorism acts in 2023.,https://www.gov.uk/government/publications/response-to-the-report-on-the-terrorism-acts-in-2023,policy_paper,Policy paper,2026-01-30T00:00:00.000Z
DBT,Business & Trade,Strategic steer to the Trade Remedies Authority (TRA),2025-12-11T09:00:06.000Z,2025,12,December,4,Q4 2025,2025-12,0.8,3-Medium,No,Strategy & Frameworks,High Impact,Business & Trade,Innovation & R&D,Active,Government/Public Sector,AI-related policy_paper: Strategic steer to the Trade Remedies Authority (TRA),AI Policy,AI policy,Last 3 months,49,15,1,This strategic steer sets out the government’s growth-focused priorities for the Trade Remedies Authority (TRA).,https://www.gov.uk/government/publications/strategic-steer-to-the-trade-remedies-authority-tra,policy_paper,Policy paper,2026-01-30T00:00:00.000Z
DSIT,Innovation & Business,AI to accelerate national renewal and growth as Google DeepMind backs UK tech and science sectors,2025-12-11T00:01:00.000Z,2025,12,December,4,Q4 2025,2025-12,0.8,2-High,No,Research & Analysis,Background,Cross-Sector,Innovation & R&D,Active,Government/Public Sector,a new partnership with google deepmind will help to turn cutting-edge ai into real benefits for w...,AI for Science,AI,Last 3 months,50,19,1,"A new partnership with Google DeepMind will help to turn cutting-edge AI into real benefits for working people. ",https://www.gov.uk/government/news/ai-to-accelerate-national-renewal-and-growth-as-google-deepmind-backs-uk-tech-and-science-sectors,press_release,press_release,2026-01-30T00:00:00.000Z
DSIT,Innovation & Business,"G7 Ministerial Declaration: Montréal, Canada, 8 to 9 December 2025",2025-12-10T14:34:12.000Z,2025,12,December,4,Q4 2025,2025-12,0.8,2-High,No,Strategy & Frameworks,Background,Cross-Sector,Innovation & R&D,Active,Government/Public Sector,"the g7 industry, digital and technology ministerial declaration and ministerial statement on the ...",AI Policy,AI,Last 3 months,50,27,1,"The G7 Industry, Digital and Technology Ministerial Declaration and Ministerial Statement on the SME AI Adoption Blueprint, agreed on 8 to 9 December 2025 in Montréal, Canada.",https://www.gov.uk/government/publications/g7-ministerial-declaration-montreal-canada-8-to-9-december-2025,notice,Notice,2026-01-30T00:00:00.000Z
DBT,Business & Trade,Growth Gateway: Trade and investment opportunities in North and West African horticulture,2025-12-10T08:54:07.000Z,2025,12,December,4,Q4 2025,2025-12,0.8,3-Medium,No,Implementation Guidance,Background,Business & Trade,Innovation & R&D,Active,Business/Private Sector,north west africa’s horticulture sector offers a £37 billion opportunity in cold chain logistics ...,AI Opportunities,"AI, Opportunities",Last 3 months,50,25,2,"North West Africa’s horticulture sector offers a £37 billion opportunity in cold chain logistics and financing, with strong growth potential in Nigeria, Ghana and Morocco.",https://www.gov.uk/government/publications/growth-gateway-trade-and-investment-opportunities-in-north-and-west-african-horticulture,guidance,Guidance,2026-01-30T00:00:00.000Z
Treasury,Finance & Economy,"Covid fraud cost UK taxpayer £10.9 billion, reveals independent report",2025-12-09T00:00:00.000Z,2025,12,December,4,Q4 2025,2025-12,0.8,3-Medium,No,Research & Analysis,Background,Financial Services,Innovation & R&D,Active,Financial Services,"AI-related press_release: Covid fraud cost UK taxpayer £10.9 billion, reveals independent report",AI Policy,AI policy,Last 3 months,52,30,1,"Taxpayers lost £10.9 billion to fraud and error as the previous government’s pandemic response left the front door open to fraud, an independent report reveals today (9 December 2025). ",https://www.gov.uk/government/news/covid-fraud-cost-uk-taxpayer-109-billion-reveals-independent-report,press_release,press_release,2026-01-30T00:00:00.000Z
DBT,Business & Trade,Small business access to finance,2025-12-04T13:00:00.000Z,2025,12,December,4,Q4 2025,2025-12,0.8,3-Medium,No,Research & Analysis,Background,Business & Trade,Innovation & R&D,Active,Government/Public Sector,AI-related call_for_evidence_outcome: Small business access to finance,AI Policy,AI policy,Last 3 months,56,22,1,"This call for evidence seeks views, evidence and experiences of applying for and accessing debt finance in the UK for small businesses.",https://www.gov.uk/government/calls-for-evidence/small-business-access-to-finance,call_for_evidence_outcome,call_for_evidence_outcome,2026-01-30T00:00:00.000Z
DfE,Education,Maximising value for pupils,2025-12-04T00:00:00.000Z,2025,12,December,4,Q4 2025,2025-12,0.8,3-Medium,No,Strategy & Frameworks,Background,Cross-Sector,Innovation & R&D,Active,Education Sector,AI-related policy_paper: Maximising value for pupils,AI Policy,AI policy,Last 3 months,57,25,1,"Sets out how government will work with schools and trusts to maximise value from resources, ensuring every pound delivers the best outcomes for pupils. ",https://www.gov.uk/government/publications/maximising-value-for-pupils,policy_paper,Policy paper,2026-01-30T00:00:00.000Z
DfE,Education,Improve your school's and trust's digital and financial planning,2025-12-04T00:00:00.000Z,2025,12,December,4,Q4 2025,2025-12,0.8,3-Medium,No,Implementation Guidance,High Impact,Financial Services,Innovation & R&D,Active,Education Sector,"information about the range of support available to schools and trusts to build capability, impro...",AI in Finance,AI,Last 3 months,57,22,1,"Information about the range of support available to schools and trusts to build capability, improve commercial expertise and meet digital standards. ",https://www.gov.uk/guidance/improve-your-schools-and-trusts-digital-and-financial-planning,detailed_guide,detailed_guide,2026-01-30T00:00:00.000Z
DSIT,Innovation & Business,TechFirst,2025-12-04T00:00:00.000Z,2025,12,December,4,Q4 2025,2025-12,0.8,2-High,No,Research & Analysis,Background,Cross-Sector,Innovation & R&D,Active,Government/Public Sector,AI-related detailed_guide: TechFirst,AI Policy,Skills,Last 3 months,57,17,1,"TechFirst is the government’s flagship tech skills programme opening pathways into the UK’s fast-growing tech sector. ",https://www.gov.uk/guidance/techfirst,detailed_guide,detailed_guide,2026-01-30T00:00:00.000Z
Home_Office,Security & Justice,Police use of facial recognition,2025-12-04T00:00:00.000Z,2025,12,December,4,Q4 2025,2025-12,0.8,3-Medium,No,Implementation Guidance,Background,Public Safety,Innovation & R&D,Active,Business/Private Sector,AI-related guidance: Police use of facial recognition,AI Policy,AI policy,Last 3 months,57,9,1,"Information on police use of facial recognition technology. ",https://www.gov.uk/government/publications/police-use-of-facial-recognition,guidance,Guidance,2026-01-30T00:00:00.000Z
DSIT,Innovation & Business,TechExpert,2025-12-04T00:00:00.000Z,2025,12,December,4,Q4 2025,2025-12,0.8,2-High,No,Research & Analysis,Background,Cross-Sector,Innovation & R&D,Active,Government/Public Sector,AI-related detailed_guide: TechExpert,AI Policy,Skills,Last 3 months,57,17,1,"TechExpert is part of TechFirst, the government’s skills programme opening pathways into the UK’s fast-growing tech sector.",https://www.gov.uk/guidance/techexpert,detailed_guide,detailed_guide,2026-01-30T00:00:00.000Z
Cabinet_Office,Other,"Specialised Committee on the Implementation of the Windsor Framework: Joint Statement, 3 December 2025",2025-12-03T16:30:04.000Z,2025,12,December,4,Q4 2025,2025-12,0.8,2-High,No,Strategy & Frameworks,High Impact,Cross-Sector,Workforce & Skills,Active,Government/Public Sector,"AI-related press_release: Specialised Committee on the Implementation of the Windsor Framework: Joint Statement, 3 December 2025",AI Skills,Implementation,Last 3 months,57,21,1,The UK Government and European Commission gave a statement after the Specialised Committee on the Implementation of the Windsor Framework meeting.,https://www.gov.uk/government/news/specialised-committee-on-the-implementation-of-the-windsor-framework-joint-statement-3-december-2025,press_release,press_release,2026-01-30T00:00:00.000Z
Home_Office,Security & Justice,Earned settlement,2025-11-28T16:28:45.000Z,2025,11,November,4,Q4 2025,2025-11,0.8,3-Medium,No,Research & Analysis,Background,Cross-Sector,Innovation & R&D,Active,Government/Public Sector,AI-related open_consultation: Earned settlement,AI Policy,AI policy,Last 3 months,62,20,1,The government is consulting on how the current settlement system should be reformed and how those reforms should be implemented.,https://www.gov.uk/government/consultations/earned-settlement,open_consultation,open_consultation,2026-01-30T00:00:00.000Z
DBT,Business & Trade,"Trade and Sustainable Development Domestic Advisory Group (TSD DAG): minutes, 19 September 2025",2025-11-28T09:30:03.000Z,2025,11,November,4,Q4 2025,2025-11,0.8,3-Medium,No,Research & Analysis,Background,Business & Trade,Innovation & R&D,Active,Government/Public Sector,"AI-related transparency: Trade and Sustainable Development Domestic Advisory Group (TSD DAG): minutes, 19 September 2025",AI Policy,AI,Last 3 months,62,17,1,Minutes of the second meeting between the TSD DAG and the Department for Business and Trade (DBT).,https://www.gov.uk/government/publications/trade-and-sustainable-development-domestic-advisory-group-tsd-dag-minutes-19-september-2025,transparency,Transparency data,2026-01-30T00:00:00.000Z
